Genus,Species_name,Arctic.herb.subzone,northern.Arctic.dwarf.shrub.subzone,middle.Arctic.dwarf.shrub.subzone,southern.Arctic.dwarf.shrub.subzone,Arctic.shrub.subzone,Adjacent.non.Arctic..Boreal.or.Boreal.alpine..area,Species.occurring.in.the.Arctic,Arctic.endemic.species..A.E.,Borderline.species..bEN.,Species.occuring.as.stabilized.introduction.only,Species.occuring.as.native.and.non.native.stabilized,Species.occurring.as.non.native.stabilized.and.casual,Sspecies.occurring.as.native.and.non.native.stabilized.and.casual,Species.occurring.both.as.native.and.casual,PAF.code.number.of.genus
 Cardamine, C. sphenophylla,No,No,No,R,R,No,1,1,NA,NA,NA,NA,NA,NA,NA
 Cardamine, C. victoris,No,No,No,S,S,R,1,,NA,NA,NA,NA,NA,NA,NA
 Arabis, A. alpina,No,R,F,F,F,F,1,,NA,NA,NA,NA,NA,NA,NA
 Arabis, A. hirsuta,No,No,No,No,R,S,1,,NA,NA,NA,NA,NA,NA,NA
 Arabis, A. pycnocarpa,No,No,No,No,R,F,1,,NA,NA,NA,NA,NA,NA,NA
 Boechera, B. drummondii,No,No,No,No,R,S,1,,NA,NA,NA,NA,NA,NA,NA
 Boechera, B. divaricarpa,No,No,No,No,R,F,1,,NA,NA,NA,NA,NA,NA,NA
 Boechera, B. holboellii (ssp. holboellii),No,No,?,S,S,F,1,,NA,NA,NA,NA,NA,NA,NA
 Alyssum, A. obovatum,No,No,No,R,S,S,1,,NA,NA,NA,NA,NA,NA,NA
 Lesquerella, L. arctica,R,F,F,F,F,S,1,,NA,NA,NA,NA,NA,NA,NA
 Lesquerella, L. calderi,No,No,No,No,R,R,1,,NA,NA,NA,NA,NA,NA,NA
 Draba, D. pauciflora,F,F,F,F,S,No,1,1,NA,NA,NA,NA,NA,NA,NA
 Draba, D. micropetala,F,F,F,F,R,No,1,1,NA,NA,NA,NA,NA,NA,NA
 Draba, D. simmonsii,F,F,F,S,R,No,1,1,NA,NA,NA,NA,NA,NA,NA
 Draba, D. stenopetala,No,No,No,S,S,S,1,,NA,NA,NA,NA,NA,NA,NA
 Draba, D. tschuktschorum,No,No,R,R,R,No,1,1,NA,NA,NA,NA,NA,NA,NA
 Draba, D. alpina,S,F,F,F,F,F,1,,NA,NA,NA,NA,NA,NA,NA
 Draba, D. glacialis,No,R,F,F,F,S,1,,NA,NA,NA,NA,NA,NA,NA
 Draba, D. oxycarpa,S,F,F,F,F,S,1,,NA,NA,NA,NA,NA,NA,NA
 Draba," D. ""pseudo�oxycarpa""",No,R,S,S,R,?,1,?,NA,NA,NA,NA,NA,NA,NA
 Draba, D. macounii,No,No,No,No,S,S,1,,NA,NA,NA,NA,NA,NA,NA
 Draba, D. eschscholtzii,No,No,?,R,R,R,1,,NA,NA,NA,NA,NA,NA,NA
 Draba, D. pilosa,No,No,R,F,F,S,1,,NA,NA,NA,NA,NA,NA,NA
 Draba, D. corymbosa,F,F,F,F,S,R,1,,NA,NA,NA,NA,NA,NA,NA
 Draba, D. oligosperma,No,No,No,R,No,S,1,,NA,NA,NA,NA,NA,NA,NA
 Draba, D. fladnizensis,No,?,S,F,F,F,1,,NA,NA,NA,NA,NA,NA,NA
 Draba, D. subcapitata,F,F,F,F,S,R,1,,NA,NA,NA,NA,NA,NA,NA
 Draba, D. lactea,F,F,F,F,F,S,1,,NA,NA,NA,NA,NA,NA,NA
 Draba, D. taimyrensis,No,No,R,R,No,No,1,1,NA,NA,NA,NA,NA,NA,NA
 Draba, D. nivalis,S,F,F,F,F,F,1,,NA,NA,NA,NA,NA,NA,NA
 Draba, D. chamissonis,No,No,No,R,R,S,1,,NA,NA,NA,NA,NA,NA,NA
 Draba, D. lonchocarpa (var. lonchocarpa),No,No,R,R,R,F,1,,NA,NA,NA,NA,NA,NA,NA
 Draba, D. palanderiana,No,No,R,S,S,S,1,,NA,NA,NA,NA,NA,NA,NA
 Draba, D. cinerea,No,No,R,S,F,F,1,,NA,NA,NA,NA,NA,NA,NA
 Draba,a D. arctica ssp. arctica,F,F,F,F,R,No,1,1,NA,NA,NA,NA,NA,NA,NA
 Draba,b D. arctica ssp. ostenfeldii,S,S,?,No,No,No,1,1,NA,NA,NA,NA,NA,NA,NA
 Draba, D. oblongata,F,F,F,F,R,No,1,1,NA,NA,NA,NA,NA,NA,NA
 Draba, D. arctogena,S,S,S,S,S,R,1,,NA,NA,NA,NA,NA,NA,NA
 Draba, D. parvisiliquosa,No,No,R,R,R,R,1,,NA,NA,NA,NA,NA,NA,NA
 Draba, D. norvegica,No,R,S,F,F,F,1,,NA,NA,NA,NA,NA,NA,NA
 Draba, D. glabella,No,S,F,F,F,F,1,,NA,NA,NA,NA,NA,NA,NA
 Draba, D. juvenilis,No,No,No,R,F,F,1,,NA,NA,NA,NA,NA,NA,NA
 Draba, D. incana,No,No,?,S,F,F,1,,NA,NA,NA,NA,NA,NA,NA
 Draba, D. cana,No,No,No,S,F,F,1,,NA,NA,NA,NA,NA,NA,NA
 Draba, D. borealis,No,No,No,R,S,S,1,,NA,NA,NA,NA,NA,NA,NA
 Draba, D. sibirica,No,No,S,F,F,F,1,,NA,NA,NA,NA,NA,NA,NA
 Draba, D. nemorosa,No,No,No,No,S,F,1,,NA,NA,1,NA,NA,NA,NA
 Draba, D. verna,No,No,No,No,R,S,1,,NA,NA,NA,NA,NA,1,NA
 Draba, D. aurea,No,No,R,F,F,F,1,,NA,NA,NA,NA,NA,NA,NA
 Draba, D. incerta,No,No,No,No,R,R,1,,NA,NA,NA,NA,NA,NA,NA
 Draba, D. crassifolia,No,No,R,F,F,F,1,,NA,NA,NA,NA,NA,NA,NA
 Draba, D. stenoloba,No,No,No,No,R,S,1,,NA,NA,NA,NA,NA,NA,NA
 Nesodraba, N. grandis,No,No,No,No,R,S,1,,NA,NA,NA,NA,NA,NA,NA
 Cochlearia, C. officinalis,No,No,No,No,S,F,1,,NA,NA,NA,NA,NA,NA,NA
 Cochlearia, C. groenlandica,F,F,F,F,F,S,1,,NA,NA,NA,NA,NA,NA,NA
 Cochlearia,a C. arctica ssp. arctica,No,No,R,F,F,F,1,,NA,NA,NA,NA,NA,NA,NA
 Cochlearia,b C. arctica ssp. oblongifolia,No,No,No,R,R,S,1,,NA,NA,NA,NA,NA,NA,NA
 Thlaspi, T. arvense,No,No,**,**,*,R,1,,NA,NA,NA,1,NA,NA,NA
 Noccaea, N. arctica,No,No,No,R,R,S,1,,NA,NA,NA,NA,NA,NA,NA
 Noccaea, N. camtschatica,No,No,No,No,R,S,1,,NA,NA,NA,NA,NA,NA,NA
 Capsella, C. bursa�pastoris,No,No,**,*,*,S,1,,NA,NA,NA,NA,1,NA,NA
 Brassica,a B. rapa ssp. campestris,No,No,**,**,*,*,1,,NA,NA,NA,1,NA,NA,NA
 Subularia,a S. aquatica ssp. aquatica,No,No,No,No,R,F,1,,NA,NA,NA,NA,NA,NA,NA
 Subularia,b S. aquatica ssp. americana,No,No,?,R,R,F,1,,NA,NA,NA,NA,NA,NA,NA
 Cakile,a C. maritima ssp. islandica,No,No,R,No,R,F,1,,NA,NA,NA,NA,NA,NA,NA
 Cakile, C. edentula (ssp. edentula),No,No,No,No,R,F,1,,NA,NA,NA,NA,NA,NA,NA
 Chamaepericlymenum, C. suecicum,No,No,No,R,F,F,1,,NA,NA,NA,NA,NA,NA,NA
 Chamaepericlymenum, C. canadense,No,No,No,No,S,F,1,,NA,NA,NA,NA,NA,NA,NA
 Chamaepericlymenum, C. unalaschkense,No,No,No,No,R,F,1,,NA,NA,NA,NA,NA,NA,NA
 Swida, S. sericea,No,No,No,No,b,F,1,,1,NA,NA,NA,NA,NA,NA
 Impatiens, I. noli�tangere,No,No,No,No,R,S,1,,NA,NA,1,NA,NA,NA,NA
 Phlox, P. sibirica,No,No,No,R,S,S,1,,NA,NA,NA,NA,NA,NA,NA
 Phlox, P. alaskensis,No,No,No,R,S,S,1,,NA,NA,NA,NA,NA,NA,NA
 Phlox, P. hoodii,No,No,R,S,S,S,1,,NA,NA,NA,NA,NA,NA,NA
 Polemonium, P. caeruleum,No,No,No,No,R,F,1,,NA,NA,NA,NA,NA,NA,NA
 Polemonium, P. acutiflorum,No,No,R,F,F,F,1,,NA,NA,NA,NA,NA,NA,NA
 Polemonium, P. boreale,No,R,F,F,F,S,1,,NA,NA,NA,NA,NA,NA,NA
 Polemonium,a P. pulcherrimum ssp. pulcherrimum,No,No,No,No,b,R,1,,1,NA,NA,NA,NA,NA,NA
 Polemonium,b P. pulcherrimum ssp. lindleyi,No,No,No,R,R,F,1,,NA,NA,NA,NA,NA,NA,NA
 Primula, P. elatior (ssp. elatior),No,No,No,No,*,*,1,,NA,1,NA,NA,NA,NA,NA
 Primula,a P. nutans ssp. nutans,No,No,?,R,S,S,1,,NA,NA,NA,NA,NA,NA,NA
 Primula,b P. nutans ssp. finmarchia,No,No,No,R,F,S,1,,NA,NA,NA,NA,NA,NA,NA
 Primula, P. stricta,No,No,R,F,F,S,1,,NA,NA,NA,NA,NA,NA,NA
 Primula, P. incana,No,No,No,No,b,S,1,,1,NA,NA,NA,NA,NA,NA
 Primula, P. mistassinica,No,No,No,No,b,S,1,,1,NA,NA,NA,NA,NA,NA
 Primula, P. laurentiana,No,No,No,No,R,S,1,,NA,NA,NA,NA,NA,NA,NA
 Primula, P. egaliksensis,No,No,No,R,F,F,1,,NA,NA,NA,NA,NA,NA,NA
 Primula, P. anvilensis,No,No,No,R,R,No,1,1,NA,NA,NA,NA,NA,NA,NA
 Primula, P. borealis,No,No,?,S,F,S,1,,NA,NA,NA,NA,NA,NA,NA
 Primula, P. tschuktschorum,No,No,No,R,R,R,1,,NA,NA,NA,NA,NA,NA,NA
 Primula, P. pumila,No,No,?,S,S,S,1,,NA,NA,NA,NA,NA,NA,NA
 Primula,a P. cuneifolia ssp. saxifragifolia,No,No,No,R,S,S,1,,NA,NA,NA,NA,NA,NA,NA
 Dodecatheon, D. frigidum,No,No,No,R,F,F,1,,NA,NA,NA,NA,NA,NA,NA
 Cortusa,a C. matthioli ssp. matthioli,No,No,No,No,F,F,1,,NA,NA,NA,NA,NA,NA,NA
 Cortusa,b C. matthioli ssp. altaica,No,No,No,No,R,R,1,,NA,NA,NA,NA,NA,NA,NA
 Cortusa,c C. matthioli ssp. sibirica,No,No,No,No,R,R,1,,NA,NA,NA,NA,NA,NA,NA
 Androsace,a A. chamaejasme ssp. andersonii,No,No,R,F,F,F,1,,NA,NA,NA,NA,NA,NA,NA
 Androsace,b A. chamaejasme ssp. capitata,No,No,No,No,R,S,1,,NA,NA,NA,NA,NA,NA,NA
 Androsace, A. triflora,R,F,F,F,S,R,1,,NA,NA,NA,NA,NA,NA,NA
 Androsace, A. gorodkovii,No,No,No,No,R,S,1,,NA,NA,NA,NA,NA,NA,NA
 Androsace, A. semiperennis,No,No,No,No,R,R,1,,NA,NA,NA,NA,NA,NA,NA
 Androsace, A. septentrionalis,No,S,F,F,F,F,1,,NA,NA,NA,NA,NA,NA,NA
 Androsace, A. filiformis,No,No,No,No,R,F,1,,NA,NA,NA,NA,NA,NA,NA
 Douglasia, D. ochotensis,No,No,R,F,F,R,1,,NA,NA,NA,NA,NA,NA,NA
 Douglasia, D. arctica,No,No,No,No,S,S,1,,NA,NA,NA,NA,NA,NA,NA
 Douglasia, D. beringensis,No,No,No,No,R,No,1,1,NA,NA,NA,NA,NA,NA,NA
 Douglasia, D. gormanii,No,No,No,No,b,S,1,,1,NA,NA,NA,NA,NA,NA
 Douglasia, D. alaskana,No,No,No,No,R,R,1,,NA,NA,NA,NA,NA,NA,NA
 Glaux, G. maritima,No,No,No,No,R,F,1,,NA,NA,NA,NA,NA,NA,NA
 Trientalis,a T. europaea ssp. europaea,No,No,No,R,F,F,1,,NA,NA,NA,NA,NA,NA,NA
 Trientalis,b T. europaea ssp. arctica,No,No,No,R,F,F,1,,NA,NA,NA,NA,NA,NA,NA
 Trientalis, T. borealis (ssp. borealis),No,No,No,No,R,F,1,,NA,NA,NA,NA,NA,NA,NA
 Lysimachia, L. thyrsiflora,No,No,No,No,R,F,1,,NA,NA,NA,NA,NA,NA,NA
 Diapensia,a D. lapponica ssp. lapponica,No,R,S,F,F,F,1,,NA,NA,NA,NA,NA,NA,NA
 Diapensia,b D. lapponica ssp. obovata,No,No,S,F,F,F,1,,NA,NA,NA,NA,NA,NA,NA
 Rhododendron, R. aureum,No,No,No,No,S,F,1,,NA,NA,NA,NA,NA,NA,NA
 Rhododendron,a R. lapponicum ssp. lapponicum,No,No,S,F,F,F,1,,NA,NA,NA,NA,NA,NA,NA
 Rhododendron,b R. lapponicum ssp. parvifolium,No,No,No,S,F,F,1,,NA,NA,NA,NA,NA,NA,NA
 Rhododendron, R. adamsii,No,No,No,?,S,F,1,,NA,NA,NA,NA,NA,NA,NA
 Rhododendron, R. groenlandicum,No,No,No,?,S,F,1,,NA,NA,NA,NA,NA,NA,NA
 Rhododendron,a R. tomentosum ssp. tomentosum,No,No,No,R,F,F,1,,NA,NA,NA,NA,NA,NA,NA
 Rhododendron,b R. tomentosum ssp. decumbens,No,No,R,F,F,F,1,,NA,NA,NA,NA,NA,NA,NA
 Therorhodion, T. glandulosum,No,No,No,?,F,F,1,,NA,NA,NA,NA,NA,NA,NA
 Kalmia, K. polifolia (ssp. polifolia),No,No,No,No,S,F,1,,NA,NA,NA,NA,NA,NA,NA
 Kalmia, K. procumbens,No,No,R,F,F,F,1,,NA,NA,NA,NA,NA,NA,NA
 Phyllodoce, P. caerulea,No,No,No,?,F,F,1,,NA,NA,NA,NA,NA,NA,NA
 Phyllodoce, P. aleutica (ssp. aleutica),No,No,No,No,R,F,1,,NA,NA,NA,NA,NA,NA,NA
 Calluna, C. vulgaris,No,No,No,No,F,F,1,,NA,NA,NA,NA,NA,NA,NA
 Cassiope, C. tetragona (ssp. tetragona),No,?,F,F,F,F,1,,NA,NA,NA,NA,NA,NA,NA
 Cassiope, C. ericoides,No,No,No,No,R,F,1,,NA,NA,NA,NA,NA,NA,NA
 Cassiope, C. lycopodioides,No,No,No,No,R,F,1,,NA,NA,NA,NA,NA,NA,NA
 Harrimanella, H. hypnoides,No,No,R,F,F,F,1,,NA,NA,NA,NA,NA,NA,NA
 Harrimanella, H. stelleriana,No,No,No,No,R,F,1,,NA,NA,NA,NA,NA,NA,NA
 Andromeda, A. polifolia,No,No,?,F,F,F,1,,NA,NA,NA,NA,NA,NA,NA
 Andromeda, A. glaucophylla,No,No,No,R,S,F,1,,NA,NA,NA,NA,NA,NA,NA
 Chamaedaphne, C. calyculata,No,No,No,?,S,F,1,,NA,NA,NA,NA,NA,NA,NA
 Arctostaphylos, A. uva�ursi,No,No,No,R,S,F,1,,NA,NA,NA,NA,NA,NA,NA
 Arctous, A. alpina,No,No,S,F,F,F,1,,NA,NA,NA,NA,NA,NA,NA
 Arctous, A. rubra,No,No,No,S,F,F,1,,NA,NA,NA,NA,NA,NA,NA
 Gaulteria, G. hispidula,No,No,No,No,R,F,1,,NA,NA,NA,NA,NA,NA,NA
 Vaccinium, V. myrtillus,No,No,No,F,F,F,1,,NA,NA,NA,NA,NA,NA,NA
 Vaccinium, V. ovalifolium,No,No,No,No,R,S,1,,NA,NA,NA,NA,NA,NA,NA
 Vaccinium, V. cespitosum,No,No,No,No,R,S,1,,NA,NA,NA,NA,NA,NA,NA
 Vaccinium, V. myrtilloides,No,No,No,No,R,F,1,,NA,NA,NA,NA,NA,NA,NA
 Vaccinium,a V. uliginosum ssp. uliginosum,No,No,No,R,S,F,1,,NA,NA,NA,NA,NA,NA,NA
 Vaccinium,b V. uliginosum ssp. microphyllum,No,?,S,F,F,F,1,,NA,NA,NA,NA,NA,NA,NA
 Vaccinium,c V. uliginosum ssp. occidentale,No,No,No,No,b,F,1,,1,NA,NA,NA,NA,NA,NA
 Vaccinium,d V. uliginosum ssp. pedris,No,No,No,?,F,F,1,,NA,NA,NA,NA,NA,NA,NA
 Vaccinium,e V. uliginosum ssp. vulcanorum,No,No,No,R,S,R,1,,NA,NA,NA,NA,NA,NA,NA
 Vaccinium,a V. vitis�idaea ssp. vitis�idaea,No,No,No,No,S,F,1,,NA,NA,NA,NA,NA,NA,NA
 Vaccinium,b V. vitis�idaea ssp. minus,No,?,R,F,F,F,1,,NA,NA,NA,NA,NA,NA,NA
 Oxycoccus,a O. palustris ssp. palustris,No,No,No,No,R,F,1,,NA,NA,NA,NA,NA,NA,NA
 Oxycoccus,b O. palustris ssp. microphyllus,No,No,No,R,R,R,1,,NA,NA,NA,NA,NA,NA,NA
 Oxycoccus, O. microcarpus,No,No,No,R,S,F,1,,NA,NA,NA,NA,NA,NA,NA
 Empetrum, E. nigrum,No,R,S,F,F,F,1,,NA,NA,NA,NA,NA,NA,NA
 Pyrola,a P. grandiflora ssp. grandiflora,No,No,S,F,F,S,1,,NA,NA,NA,NA,NA,NA,NA
 Pyrola,b P. grandiflora ssp. norvegica,No,No,No,No,F,F,1,,NA,NA,NA,NA,NA,NA,NA
 Pyrola,a P. asarifolia ssp. incarnata,No,No,No,?,F,F,1,,NA,NA,NA,NA,NA,NA,NA
 Pyrola,a P. minor var. conferta,No,No,No,R,F,F,1,,NA,NA,NA,NA,NA,NA,NA
 Pyrola, P. chlorantha,No,No,No,No,R,F,1,,NA,NA,NA,NA,NA,NA,NA
 Orthilia,a O. secunda ssp. secunda,No,No,No,No,S,F,1,,NA,NA,NA,NA,NA,NA,NA
 Orthilia,b O. secunda ssp. obtusata,No,No,R,S,F,F,1,,NA,NA,NA,NA,NA,NA,NA
 Moneses, M. uniflora,No,No,No,No,S,F,1,,NA,NA,NA,NA,NA,NA,NA
 Galium, G. kamtschaticum,No,No,No,No,R,R,1,,NA,NA,NA,NA,NA,NA,NA
 Galium, G. boreale,No,No,No,S,F,F,1,,NA,NA,NA,NA,NA,NA,NA
 Galium, G. triflorum,No,No,No,R,S,F,1,,NA,NA,NA,NA,NA,NA,NA
 Galium, G. uliginosum,No,No,No,No,F,F,1,,NA,NA,NA,NA,NA,NA,NA
 Galium, G. palustre,No,No,No,No,R,F,1,,NA,NA,NA,NA,NA,NA,NA
 Galium,a G. trifidum ssp. trifidum,No,No,No,R,R,F,1,,NA,NA,NA,NA,NA,NA,NA
 Galium,b G. trifidum ssp. columbianum,No,No,No,No,R,S,1,,NA,NA,NA,NA,NA,NA,NA
 Galium, G. labradoricum,No,No,No,No,R,F,1,,NA,NA,NA,NA,NA,NA,NA
 Galium, G. verum,No,No,No,?,S,F,1,,NA,NA,1,NA,NA,NA,NA
 Galium,a G. mollugo ssp. erectum,No,No,No,No,*,*,1,,NA,NA,NA,1,NA,NA,NA
 Galium, G. normanii,No,No,No,No,R,S,1,,NA,NA,NA,NA,NA,NA,NA
 Galium,a G. spurium ssp. vaillantii,No,No,No,No,*,S,1,,NA,1,NA,NA,NA,NA,NA
 Galium, G. aparine,No,No,No,No,R,F,1,,NA,NA,NA,NA,NA,1,NA
 Gentiana, G. algida,No,No,No,R,F,F,1,,NA,NA,NA,NA,NA,NA,NA
 Gentiana, G. glauca,No,No,No,S,F,F,1,,NA,NA,NA,NA,NA,NA,NA
 Gentiana, G. nivalis,No,No,No,F,F,F,1,,NA,NA,NA,NA,NA,NA,NA
 Gentiana, G. verna,No,No,No,R,F,S,1,,NA,NA,NA,NA,NA,NA,NA
 Gentiana, G. prostrata,No,No,No,R,F,F,1,,NA,NA,NA,NA,NA,NA,NA
 Gentianella, G. campestris,No,No,No,No,S,F,1,,NA,NA,NA,NA,NA,NA,NA
 Gentianella,a G. amarella ssp. amarella,No,No,No,No,R,F,1,,NA,NA,NA,NA,NA,NA,NA
 Gentianella,b G. amarella ssp. septentrionalis,No,No,No,No,S,F,1,,NA,NA,NA,NA,NA,NA,NA
 Gentianella,c G. amarella ssp. acuta,No,No,No,No,R,F,1,,NA,NA,NA,NA,NA,NA,NA
 Gentianella,a G. propinqua ssp. propinqua,No,No,No,R,F,F,1,,NA,NA,NA,NA,NA,NA,NA
 Gentianella,b G. propinqua ssp. arctophila,No,No,No,R,S,R,1,,NA,NA,NA,NA,NA,NA,NA
 Gentianella, G. auriculata,No,No,No,No,R,F,1,,NA,NA,NA,NA,NA,NA,NA
 Gentianella, G. aurea,No,No,No,R,F,F,1,,NA,NA,NA,NA,NA,NA,NA
 Comastoma, C. tenellum,No,No,R,F,F,S,1,,NA,NA,NA,NA,NA,NA,NA
 Gentianopsis, G. detonsa,No,No,R,S,F,F,1,,NA,NA,NA,NA,NA,NA,NA
 Gentianopsis, G. nesophila,No,No,No,No,R,S,1,,NA,NA,NA,NA,NA,NA,NA
 Gentianopsis,a G. barbata ssp. barbata,No,No,No,R,S,S,1,,NA,NA,NA,NA,NA,NA,NA
 Gentianopsis,b G. barbata ssp. raupii,No,No,No,No,R,S,1,,NA,NA,NA,NA,NA,NA,NA
 Lomatogonium,a L. rotatum ssp. rotatum,No,No,No,R,S,S,1,,NA,NA,NA,NA,NA,NA,NA
 Lomatogonium,b L. rotatum ssp. tenuifolium,No,No,No,No,S,S,1,,NA,NA,NA,NA,NA,NA,NA
 Lomatogonium, L. carinthiacum,No,No,No,No,R,S,1,,NA,NA,NA,NA,NA,NA,NA
 Swertia, S. obtusa,No,No,No,No,R,S,1,,NA,NA,NA,NA,NA,NA,NA
 Ajuga, A. pyramidalis,No,No,No,No,R,F,1,,NA,NA,NA,NA,NA,NA,NA
 Scutellaria,b S. galericulata ssp. pubescens,No,No,No,No,R,F,1,,NA,NA,NA,NA,NA,NA,NA
 Glechoma, G. hederacea,No,No,No,No,*,S,1,,NA,1,NA,NA,NA,NA,NA
 Dracocephalum, D. palmatum,No,No,No,R,F,F,1,,NA,NA,NA,NA,NA,NA,NA
 Dracocephalum, D. parviflorum,No,No,No,No,*,S,1,,NA,1,NA,NA,NA,NA,NA
 Prunella,a P. vulgaris ssp. vulgaris,No,No,No,No,R,F,1,,NA,NA,1,NA,NA,NA,NA
 Prunella,b P. vulgaris ssp. lanceolata,No,No,No,No,b,F,1,,1,NA,NA,NA,NA,NA,NA
 Galeopsis, G. bifida,No,No,No,No,*,F,1,,NA,NA,NA,1,NA,NA,NA
 Galeopsis, G. tetrahit,No,No,No,No,R,S,1,,NA,NA,1,NA,NA,NA,NA
 Lamium, L. album (ssp. album),No,No,No,No,R,F,1,,NA,NA,1,NA,NA,NA,NA
 Lamium, L. purpureum,No,No,No,No,*,*,1,,NA,NA,NA,1,NA,NA,NA
 Stachys,a S. palustris ssp. pilosa,No,No,No,No,b,S,1,,1,NA,NA,NA,NA,NA,NA
 Lycopus, L. uniflorus,No,No,No,No,R,S,1,,NA,NA,NA,NA,NA,NA,NA
 Mentha, M. aquatica,No,No,No,No,b,R,1,,1,NA,NA,NA,NA,NA,NA
 Mentha, M. arvensis,No,No,No,No,R,F,1,,NA,NA,1,NA,NA,NA,NA
 Mentha, M. canadensis,No,No,No,No,R,F,1,,NA,NA,NA,NA,NA,NA,NA
 Thymus,a T. praecox ssp. arcticus,No,No,No,R,F,F,1,,NA,NA,NA,NA,NA,NA,NA
 Thymus,a T. serpyllum ssp. tanaensis,No,No,No,No,R,S,1,,NA,NA,NA,NA,NA,NA,NA
 Thymus, T. pauciflorus,No,No,No,No,R,S,1,,NA,NA,NA,NA,NA,NA,NA
 Thymus, T. reverdattoanus,No,No,No,No,S,F,1,,NA,NA,NA,NA,NA,NA,NA
 Thymus, T. extremus,No,No,No,R,F,F,1,,NA,NA,NA,NA,NA,NA,NA
 Thymus, T. oxyodontus,No,No,No,R,F,F,1,,NA,NA,NA,NA,NA,NA,NA
 Thymus, T. karavaevi,No,No,No,No,b,R,1,,1,NA,NA,NA,NA,NA,NA
 Thymus, T. mongolicus,No,No,No,No,R,S,1,,NA,NA,NA,NA,NA,NA,NA
 Thymus, T. sibiricus,No,No,No,No,R,F,1,,NA,NA,NA,NA,NA,NA,NA
 Mimulus, M. guttatus,No,No,No,No,R,S,1,,NA,NA,NA,NA,NA,NA,NA
 Limosella, L. aquatica,No,No,No,R,R,S,1,,NA,NA,NA,NA,NA,NA,NA
 Linaria,a L. vulgaris ssp. vulgaris,No,No,No,No,*,S,1,,NA,1,NA,NA,NA,NA,NA
 Linaria,b L. vulgaris ssp. acutiloba,No,No,No,No,R,S,1,,NA,NA,NA,NA,NA,NA,NA
 Lagotis,a L. glauca ssp. glauca,No,No,No,No,R,S,1,,NA,NA,NA,NA,NA,NA,NA
 Lagotis,b L. glauca ssp. stelleri,?,S,F,F,F,S,1,,NA,NA,NA,NA,NA,NA,NA
 Lagotis,c L. glauca ssp. minor,No,S,F,F,F,S,1,,NA,NA,NA,NA,NA,NA,NA
 Veronica, V. longifolia,No,No,No,F,F,F,1,,NA,NA,NA,NA,NA,NA,NA
 Veronica, V. incana (ssp. incana),No,No,No,No,R,S,1,,NA,NA,NA,NA,NA,NA,NA
 Veronica, V. spicata (ssp. spicata),No,No,No,No,R,S,1,,NA,NA,NA,NA,NA,NA,NA
 Veronica,a V. alpina ssp. alpina,No,No,S,F,F,F,1,,NA,NA,NA,NA,NA,NA,NA
 Veronica,b V. alpina ssp. pumila,No,No,No,No,R,S,1,,NA,NA,NA,NA,NA,NA,NA
 Veronica, V. nutans,No,No,No,No,R,F,1,,NA,NA,NA,NA,NA,NA,NA
 Veronica, V. wormskjoldii,No,No,No,R,F,F,1,,NA,NA,NA,NA,NA,NA,NA
 Veronica, V. fruticans (ssp. fruticans),No,No,R,F,F,F,1,,NA,NA,NA,NA,NA,NA,NA
 Veronica,a V. serpyllifolia ssp. serpyllifolia,No,No,No,No,S,F,1,,NA,NA,1,NA,NA,NA,NA
 Veronica,b V. serpyllifolia ssp. humifusa,No,No,No,No,R,S,1,,NA,NA,NA,NA,NA,NA,NA
 Veronica, V. chamaedrys,No,No,No,No,*,S,1,,NA,1,NA,NA,NA,NA,NA
 Veronica, V. officinalis,No,No,No,No,R,F,1,,NA,NA,NA,NA,NA,1,NA
 Veronica, V. scutellata,No,No,No,No,R,F,1,,NA,NA,NA,NA,NA,NA,NA
 Veronica, V. alaskensis,No,No,No,No,b,R,1,,1,NA,NA,NA,NA,NA,NA
 Plantago, P. major (ssp. major),No,No,**,*,*,S,1,,NA,NA,NA,1,NA,NA,NA
 Plantago, P. depressa,No,No,No,*,*,S,1,,NA,1,NA,NA,NA,NA,NA
 Plantago, P. media,No,No,No,No,b,S,1,,1,NA,1,NA,NA,NA,NA
 Plantago, P. lanceolata,No,No,No,No,b,S,1,,1,NA,NA,NA,NA,1,NA
 Plantago,a P. canescens ssp. canescens,No,No,No,No,*,F,1,,NA,1,NA,NA,NA,NA,NA
 Plantago,b P. canescens ssp. jurtzevii,No,No,No,No,R,No,1,1,NA,NA,NA,NA,NA,NA,NA
 Plantago,c P. canescens ssp. richardsonii,No,No,No,S,S,R,1,,NA,NA,NA,NA,NA,NA,NA
 Plantago, P. eriopoda,No,No,No,No,R,S,1,,NA,NA,NA,NA,NA,NA,NA
 Plantago,a P. maritima ssp. borealis,No,No,R,F,F,F,1,,NA,NA,NA,NA,NA,NA,NA
 Littorella, L. uniflora,No,No,No,No,R,S,1,,NA,NA,NA,NA,NA,NA,NA
 Hippuris, H. vulgaris,No,R,F,F,F,F,1,,NA,NA,NA,NA,NA,NA,NA
 Hippuris, H. lanceolata,No,No,No,R,F,F,1,,NA,NA,NA,NA,NA,NA,NA
 Hippuris, H. tetraphylla,No,No,?,F,F,F,1,,NA,NA,NA,NA,NA,NA,NA
 Callitriche, C. hermaphroditica,No,No,No,R,S,F,1,,NA,NA,NA,NA,NA,NA,NA
 Callitriche, C. cophocarpa,No,No,No,No,R,S,1,,NA,NA,NA,NA,NA,NA,NA
 Callitriche, C. palustris,No,No,R,S,F,F,1,,NA,NA,NA,NA,NA,NA,NA
