"","Species","TimesColonised","Class"
"133","Festuca brachyphylla",3,"Cosmopolitan"
"134","Gentiana nivalis",3,"Low_Arctic_Boreal"
"135","Hedysarum alpinum",3,"Low_Arctic_Boreal"
"136","Linnaea borealis",3,"Low_Arctic_Boreal"
"137","Micranthes hieraciifolia",3,"Cosmopolitan"
"138","Pyrola minor",3,"Low_Arctic_Boreal"
"139","Rumex acetosa",3,"Low_Arctic_Boreal"
"140","Salix chamissonis",3,"Low_Arctic_Boreal"
"141","Salix hastata",3,"Low_Arctic_Boreal"
"142","Stellaria crassipes",3,"Cosmopolitan"
"143","Veronica alpina",3,"Cosmopolitan"
"144","Anemone parviflora",2,"Low_Arctic_Boreal"
"145","Arctous rubra",2,"Low_Arctic_Boreal"
"146","Astragalus umbellatus",2,"Low_Arctic_Boreal"
"147","Braya purpurascens",2,"Cosmopolitan"
"148","Carex brunnescens",2,"Low_Arctic_Boreal"
"149","Carex fimbriata",2,"Boreal"
"150","Carex lachenalii",2,"Cosmopolitan"
"151","Carex × turfosa",2,"Low_Arctic_Boreal"
"152","Chamorchis alpina",2,"Boreal"
"153","Gymnadenia conopsea",2,"Low_Arctic_Boreal"
"154","Lupinus arcticus",2,"Low_Arctic_Boreal"
"155","Orthilia secunda",2,"Low_Arctic_Boreal"
"156","Pedicularis dasyantha",2,"High_Low_Arctic"
"157","Pedicularis verticillata",2,"Low_Arctic_Boreal"
"158","Phleum alpinum",2,"Low_Arctic_Boreal"
"159","Pinguicula villosa",2,"Low_Arctic_Boreal"
"160","Poa alpina",2,"Cosmopolitan"
"161","Pyrola rotundifolia",2,"Low_Arctic_Boreal"
"162","Ranunculus pallasii",2,"Low_Arctic_Boreal"
"163","Salix fuscescens",2,"Low_Arctic_Boreal"
"164","Salix phylicifolia",2,"Low_Arctic_Boreal"
"165","Salix planifolia",2,"Low_Arctic_Boreal"
"166","Silene apetala",2,"Cosmopolitan"
"167","Silene uralensis",2,"Cosmopolitan"
"168","Valeriana capitata",2,"Low_Arctic_Boreal"
"169","Aconitum septentrionale",1,"Low_Arctic_Boreal"
"170","Agrostis capillaris",1,"Low_Arctic_Boreal"
"171","Androsace ochotensis",1,"Low_Arctic"
"172","Arctophila fulva",1,"Cosmopolitan"
"173","Arnica lessingii",1,"Low_Arctic_Boreal"
"174","Astragalus frigidus",1,"Low_Arctic_Boreal"
"175","Avenella flexuosa",1,"Low_Arctic_Boreal"
"176","Carex chordorrhiza",1,"Low_Arctic_Boreal"
"177","Carex ericetorum",1,"Boreal"
"178","Carex mackenziei",1,"Low_Arctic_Boreal"
"179","Carex parallela",1,"Cosmopolitan"
"180","Carex subspathacea",1,"Cosmopolitan"
"181","Carex supina",1,"Low_Arctic_Boreal"
"182","Carex vaginata",1,"Low_Arctic_Boreal"
"183","Cerastium cerastoides",1,"Low_Arctic_Boreal"
"184","Cerastium regelii",1,"High_Low_Arctic"
"185","Dactylorhiza viridis",1,"Low_Arctic_Boreal"
"186","Draba nivalis",1,"Cosmopolitan"
"187","Epilobium latifolium",1,"Cosmopolitan"
"188","Euphrasia wettsteinii",1,"Cosmopolitan"
"189","Eutrema edwardsii",1,"Cosmopolitan"
"190","Galium normanii",1,"Boreal"
"191","Geum glaciale",1,"Cosmopolitan"
"192","Hedysarum boreale",1,"Low_Arctic_Boreal"
"193","Kobresia simpliciuscula",1,"Cosmopolitan"
"194","Koenigia islandica",1,"Cosmopolitan"
"195","Lagotis glauca",1,"Cosmopolitan"
"196","Lagotis minor",1,"Cosmopolitan"
"197","Luzula wahlenbergii",1,"Cosmopolitan"
"198","Micranthes nelsoniana",1,"Cosmopolitan"
"199","Minuartia arctica",1,"Cosmopolitan"
"200","Oxytropis borealis",1,"Low_Arctic_Boreal"
"201","Papaver lapponicum",1,"Cosmopolitan"
"202","Parnassia palustris",1,"Low_Arctic_Boreal"
"203","Pedicularis labradorica",1,"Low_Arctic_Boreal"
"204","Polemonium acutiflorum",1,"Low_Arctic_Boreal"
"205","Potentilla crantzii",1,"Cosmopolitan"
"206","Potentilla erecta",1,"Boreal"
"207","Ranunculus lapponicus",1,"Cosmopolitan"
"208","Ranunculus pygmaeus",1,"Cosmopolitan"
"209","Rumex alpestris",1,"Low_Arctic_Boreal"
"210","Salix arctophila",1,"Low_Arctic_Boreal"
"211","Salix niphoclada",1,"Low_Arctic_Boreal"
"212","Salix uva-ursi",1,"Low_Arctic_Boreal"
"213","Saxifraga tricuspidata",1,"Cosmopolitan"
"214","Scorzoneroides autumnalis",1,"Low_Arctic_Boreal"
"215","Silene involucrata",1,"Cosmopolitan"
"216","Taraxacum croceum",1,"Low_Arctic_Boreal"
"217","Thymus praecox",1,"Low_Arctic_Boreal"
"218","Trollius europaeus",1,"Low_Arctic_Boreal"
"219","Vaccinium microcarpum",1,"Low_Arctic_Boreal"
"220","Viola palustris",1,"Low_Arctic_Boreal"
