"","SPECIES_CLEAN","Duration","Start","End","CoverChangePerYear","X","ClassNew","Synonym","family","FunctionalGroup","Woodiness","Deciduousness","BerryCat","N_fixer","PlantHeight","SLA","SeedMass","LeafN","LeafCN","MeanCoverChange","TimesColonised"
"178","Saxifraga tricuspidata",28,0,0.645161290322581,0.0230414746543779,183,"Ubiquitous",NA,"Saxifragaceae","Forb","Not woody","Not applicable","Not berry","Not fixer",NA,NA,NA,NA,NA,-0.110430482185006,1
"179","Festuca richardsonii",6,1.75438596491228,0,-0.292397660818713,277,"Ubiquitous","Festuca rubra","Poaceae","Graminoid","Not woody","Not applicable","Not berry","Not fixer",0.314101014198783,11.2536188839639,0.858294117647059,17.3510285508266,30.9365295380885,0.00077402069038943,12
"180","Saxifraga cespitosa",6,3.57142857142857,0,-0.595238095238095,210,"Ubiquitous",NA,"Saxifragaceae","Forb","Not woody","Not applicable","Not berry","Not fixer",NA,NA,NA,NA,NA,-0.467687074829932,0
"181","Alopecurus magellanicus",12,2.04081632653061,0,-0.170068027210884,264,"Ubiquitous","Alopecurus borealis","Poaceae","Graminoid","Not woody","Not applicable","Not berry","Not fixer",0.129036363636364,NA,NA,25.3730580041176,17.4986372773333,0.497775760282536,4
"182","Stellaria crassipes",12,0,3.33333333333333,0.277777777777778,281,"Ubiquitous","Stellaria longipes","Caryophyllaceae","Forb","Not woody","Not applicable","Not berry","Not fixer",0.0585963302752294,15.1298900284239,0.041696428625,NA,NA,0.230291322857887,3
"183","Draba nivalis",6,3.33333333333333,0,-0.555555555555556,212,"Ubiquitous",NA,"Brassicaceae","Forb","Not woody","Not applicable","Not berry","Not fixer",NA,NA,NA,NA,NA,-0.579734652213644,1
"184","Betula pubescens",16,0,0.353356890459364,0.0220848056537102,23,"Boreal-tundra boundary",NA,"Betulaceae","Shrub","Woody","Deciduous","Not berry","Not fixer",2.3404347826087,17.1514756432907,0.216641025538462,24.6661736280495,21.4463305292237,0.107520047931121,4
"185","Calluna vulgaris",16,44.280442804428,88.339222614841,2.75367373815081,7,"Boreal-tundra boundary",NA,"Ericaceae","Shrub","Woody","Evergreen","Not berry","Not fixer",0.170161016949153,11.7952567056652,0.0344,13.8289911197779,36.3475201577525,0.416627128914762,18
"186","Hieracium alpinum",16,0,0.33112582781457,0.0206953642384106,15,"Boreal-tundra boundary",NA,"Asteraceae","Forb","Not woody","Not applicable","Not berry","Not fixer",0.130257575757576,21.3028474836964,NA,NA,NA,-0.0411975931082824,4
"187","Achillea millefolium",5,3.6036036036036,7.20720720720721,0.720720720720721,72,"Boreal-tundra boundary",NA,"Asteraceae","Forb","Not woody","Not applicable","Not berry","Not fixer",0.152457655826558,15.0073242878333,0.1372,23.4474546570163,18.5018296462823,0.316941654669849,0
"188","Aconitum septentrionale",5,0,2.7027027027027,0.540540540540541,251,"Boreal-tundra boundary","Aconitum lycoctonum","Ranunculaceae","Forb","Not woody","Not applicable","Not berry","Not fixer",0.997925925925926,NA,NA,NA,NA,0.540540540540541,1
"189","Agrostis capillaris",5,7.20720720720721,4.5045045045045,-0.540540540540541,57,"Boreal-tundra boundary",NA,"Poaceae","Graminoid","Not woody","Not applicable","Not berry","Not fixer",0.388,29.3550848673379,NA,30.3256249214037,15.8772297532372,-0.022811827443383,1
"190","Alchemilla alpina",5,2.7027027027027,1.8018018018018,-0.18018018018018,51,"Boreal-tundra boundary",NA,"Rosaceae","Forb","Not woody","Not applicable","Not berry","Not fixer",0.109657142857143,13.5524117770833,0.382625,NA,NA,-0.00285556977551127,0
"191","Anthoxanthum odoratum",5,9.00900900900901,2.7027027027027,-1.26126126126126,47,"Boreal specialist",NA,"Poaceae","Graminoid","Not woody","Not applicable","Not berry","Not fixer",0.257841327623126,24.4468471722896,0.413318,23.5765454163337,18.2977580080616,-0.427629025671681,8
"192","Campanula rotundifolia",5,0.900900900900901,0.900900900900901,0,52,"Boreal-tundra boundary",NA,"Campanulaceae","Forb","Not woody","Not applicable","Not berry","Not fixer",0.245007407407407,21.4559901466555,0.0621,23.1375,20.3463291136,-0.0823161029233054,0
"193","Carex flava",5,0.900900900900901,0,-0.18018018018018,74,"Boreal specialist",NA,"Cyperaceae","Graminoid","Not woody","Not applicable","Not berry","Not fixer",0.491666666666667,NA,NA,NA,NA,-0.160225836696425,0
"194","Cerastium fontanum",5,0.900900900900901,0.900900900900901,0,66,"Boreal-tundra boundary",NA,"Caryophyllaceae","Forb","Not woody","Not applicable","Not berry","Not fixer",0.252935483870968,29.5502603995212,0.143,17.848,NA,-0.196569974143504,0
"195","Euphrasia wettsteinii",5,0.900900900900901,0.900900900900901,0,53,"Ubiquitous",NA,"Orobanchaceae","Forb","Not woody","Not applicable","Not berry","Not fixer",NA,NA,NA,NA,NA,0.0562843662199239,1
"196","Geranium sylvaticum",5,4.5045045045045,9.00900900900901,0.900900900900901,73,"Boreal-tundra boundary",NA,"Geraniaceae","Forb","Not woody","Not applicable","Not berry","Not fixer",0.414385620915033,21.5667222661602,5.668,24.5672159858826,NA,0.221628690188528,0
"197","Luzula multiflora",5,0.900900900900901,0.900900900900901,0,29,"Boreal-tundra boundary",NA,"Juncaceae","Graminoid","Not woody","Not applicable","Not berry","Not fixer",0.146189655172414,24.5324367214013,0.371111111111111,22.6506778135056,NA,0.0139739460808944,7
"198","Nardus stricta",5,27.027027027027,10.8108108108108,-3.24324324324324,46,"Boreal-tundra boundary",NA,"Poaceae","Graminoid","Not woody","Not applicable","Not berry","Not fixer",0.211308823529412,10.8236336586845,0.3145625,14.6935862074487,30.0674450404175,-1.48461364697967,0
"199","Phleum alpinum",5,0.900900900900901,0.900900900900901,0,37,"Boreal-tundra boundary",NA,"Poaceae","Graminoid","Not woody","Not applicable","Not berry","Not fixer",0.268404761904762,23.182198994384,0.375378571428571,28.3577916666667,NA,-0.0715466182876199,2
"200","Potentilla erecta",5,0.900900900900901,0,-0.18018018018018,76,"Boreal specialist",NA,"Rosaceae","Forb","Not woody","Not applicable","Not berry","Not fixer",0.201714285714286,23.0101454597626,0.423492063492064,23.5678265243416,20.5232179330175,0.276423368380889,1
