"","SiteSubsitePlot","CoverChange","Duration"
"89","ANWR:ATIGUN-B:5",-0.417888563049853,10
"90","ANWR:ATIGUN-B:6",0,10
"91","ANWR:ATIGUN-B:7",0.30827067669173,10
"92","ANWR:ATIGUN-B:8",-0.625,10
"93","ANWR:ATIGUN-B:9",-2,5
"94","ANWR:ATIGUN-C:1",0.862643465383191,10
"95","ANWR:ATIGUN-C:10",-0.450450450450451,10
"96","ANWR:ATIGUN-C:2",-2.20304975922953,10
"97","ANWR:ATIGUN-C:3",0.869767441860465,10
"98","ANWR:ATIGUN-C:4",-1.82142857142857,10
"99","ANWR:ATIGUN-C:5",-1.44586648218609,10
"100","ANWR:ATIGUN-C:6",-1.08225108225108,10
"101","ANWR:ATIGUN-C:7",-0.220588235294117,10
"102","ANWR:ATIGUN-C:8",-1.19612068965517,10
"103","ANWR:ATIGUN-C:9",-1.00563909774436,10
"104","ANWR:C2:C2",-0.0803068917914412,24
"105","ANWR:H1:H1",-0.537008281573499,24
"106","ANWR:H3:H3",-0.645267394164538,24
"107","ANWR:H4:H4",-0.462962962962963,24
"108","ANWR:H5:H5",-0.845864661654135,24
"109","ANWR:JAGO-A:1",0.563451047947172,9
"110","ANWR:JAGO-A:10",-0.19774011299435,9
"111","ANWR:JAGO-A:2",0.292253456810419,9
"112","ANWR:JAGO-A:3",-0.107624090576437,9
"113","ANWR:JAGO-A:4",0.25429706351858,9
"114","ANWR:JAGO-A:5",0.747735543336786,9
"115","ANWR:JAGO-A:6",0.709876543209876,9
"116","ANWR:JAGO-A:7",-0.168849353430525,9
"117","ANWR:JAGO-A:8",1.08327281529896,9
"118","ANWR:JAGO-A:9",0.347994399143398,9
"119","ANWR:JAGO-B:1",-0.0732600732600746,9
"120","ANWR:JAGO-B:10",-0.109649122807017,9
"121","ANWR:JAGO-B:2",-1.08966108966109,9
"122","ANWR:JAGO-B:3",-0.932311621966794,9
"123","ANWR:JAGO-B:4",1.72222222222222,9
"124","ANWR:JAGO-B:5",0.525800929322573,9
"125","ANWR:JAGO-B:6",-0.927314120717418,9
"126","ANWR:JAGO-B:7",2.72904483430799,9
"127","ANWR:JAGO-B:8",-2.69828652181593,9
"128","ANWR:JAGO-B:9",-0.279448393171738,9
"129","ANWR:K1:K1",-1.36507936507937,5
"130","ANWR:K2:K2",0.251177394034535,5
"131","ANWR:K3:K3",0.353013219984871,23
"132","ANWR:M10:M10",0.20946763460375,24
"133","ANWR:M11:M11",-0.168252290345314,24
"134","ANWR:M4:M4",-0.344488188976378,24
"135","ANWR:M7S:M7S",0.080749354005168,24
"136","ANWR:N11:N11",0.33048433048433,25
"137","ANWR:O11:O11",0.0645161290322579,25
"138","ANWR:O12:O12",0.158764111705288,25
"139","ANWR:O13:O13",0.368589743589743,24
"140","ANWR:O15:O15",-0.0855061966843712,24
"141","ANWR:O18:O18",1.00308641975309,24
"142","ANWR:O19:O19",0.246983408748115,24
"143","ANWR:O3:O3",-0.0347826086956525,25
"144","ANWR:O6:O6",-0.262626262626263,25
"145","ANWR:O7:O7",0.161290322580645,24
"146","ANWR:S1:S1",0.0360702420503083,25
"147","ANWR:S4:S4",-0.0916030534351148,25
"148","ANWR:S6:S6",-0.115208156329652,25
"149","ANWR:S8:S8",0.123685837971552,25
"150","ATQASUK:AD:ADC01",0.0628930817610055,10
"151","ATQASUK:AD:ADC02",0.78926388519798,10
"152","ATQASUK:AD:ADC03",0.300896286811781,10
"153","ATQASUK:AD:ADC04",-1.91756272401434,10
"154","ATQASUK:AD:ADC05",-0.891228070175438,10
"155","ATQASUK:AD:ADC06",1.60683760683761,10
"156","ATQASUK:AD:ADC07",-0.326354679802955,10
"157","ATQASUK:AD:ADC08",1.14535182331792,10
"158","ATQASUK:AD:ADC09",-1.31944444444444,10
"159","ATQASUK:AD:ADC10",1.2280701754386,10
"160","ATQASUK:AD:ADC11",0.614035087719298,10
"161","ATQASUK:AD:ADC12",-1.98412698412698,10
"162","ATQASUK:AD:ADC13",0.212550607287449,10
"163","ATQASUK:AD:ADC14",1.45604395604396,10
"164","ATQASUK:AD:ADC15",0.714285714285715,10
"165","ATQASUK:AD:ADC16",0.216450216450217,10
"166","ATQASUK:AD:ADC17",-0.610107357947106,10
"167","ATQASUK:AD:ADC18",-0.0669642857142854,10
"168","ATQASUK:AD:ADC19",0.92968985245408,12
"169","ATQASUK:AD:ADC20",1.24183006535948,12
"170","ATQASUK:AD:ADC21",2.27330293819656,12
"171","ATQASUK:AD:ADC22",1.04504504504505,12
"172","ATQASUK:AD:ADC23",0.083699518727767,12
"173","ATQASUK:AD:ADC24",0.632716049382715,10
"174","ATQASUK:AG:AGCA02",0.921917588584255,9
"175","ATQASUK:AG:AGCA03",-0.207244862417276,9
"176","ATQASUK:AG:AGCA04",0,9
"177","ATQASUK:AG:AGCA05",0.115207373271889,9
"178","ATQASUK:AG:AGCA06",-0.190756794530379,9
"179","ATQASUK:AG:AGCA07",-0.529100529100529,9
"180","ATQASUK:AG:AGCA09",0.335955424450999,9
"181","ATQASUK:AG:AGCA10",-1.04420113544201,9
"182","ATQASUK:AG:AGCB02",1.85457817036765,9
"183","ATQASUK:AG:AGCB03",-2.60204383011401,9
"184","ATQASUK:AG:AGCB04",0.252525252525255,9
"185","ATQASUK:AG:AGCB06",0.126262626262625,6
"186","ATQASUK:AG:AGCB07",0.849514563106796,9
"187","ATQASUK:AG:AGCB08",0.205642310905468,9
"188","ATQASUK:AG:AGCB09",1.04920315258198,9
"189","ATQASUK:AG:AGCB10",1.56852336354099,9
"190","ATQASUK:AG:AGCB11",0.0828899683861519,9
"191","ATQASUK:AG:AGCC05",0.690218616182105,9
"192","ATQASUK:AG:AGCC06",-5.41752933057281,6
"193","ATQASUK:AG:AGCC08",0.0679250679250695,9
"194","ATQASUK:AG:AGCC09",0.131395253346473,9
"195","ATQASUK:AG:AGCC10",-1.57898385724467e-15,9
"196","ATQASUK:AG:AGCC11",-0.076103500761036,9
"197","ATQASUK:AG:AGCD02",0.621969217794646,9
"198","ATQASUK:AG:AGCD03",0,9
"199","ATQASUK:AG:AGCD04",-0.161030595813205,9
"200","ATQASUK:AG:AGCD05",-0.314253647586982,9
"201","ATQASUK:AG:AGCD06",0.103406326034063,9
"202","ATQASUK:AG:AGCD07",0.997354497354498,9
"203","ATQASUK:AG:AGCD08",0.931476624620125,9
"204","ATQASUK:AG:AGCD10",0.580863825896938,9
"205","ATQASUK:AG:AGCD11",-1.15496045728604,9
"206","ATQASUK:AG:AGCE02",-4.65873015873016,9
"207","ATQASUK:AG:AGCE03",1.33278514407099,9
"208","ATQASUK:AG:AGCE04",0.849883700125247,9
"209","ATQASUK:AG:AGCE06",0.73599240265907,9
"210","ATQASUK:AG:AGCE07",0.289296046287368,9
"211","ATQASUK:AG:AGCE08",-3.26661220043573,9
"212","ATQASUK:AG:AGCE09",1.19047619047619,9
"213","ATQASUK:AG:AGCE11",-0.765505804311774,9
"214","ATQASUK:AG:AGCF02",1.94091452155968,9
"215","ATQASUK:AG:AGCF05",-0.315656565656564,9
"216","ATQASUK:AG:AGCF06",-0.167763582397729,9
"217","ATQASUK:AG:AGCF07",-3.19112744097435,9
"218","ATQASUK:AG:AGCF10",-2.41531165311653,9
"219","ATQASUK:AG:AGCG02",-0.167084377610694,9
"220","ATQASUK:AG:AGCG03",-2.19507539606795,9
"221","ATQASUK:AG:AGCG05",0.626210192394841,9
"222","ATQASUK:AG:AGCG06",-1.53968997899634,9
"223","ATQASUK:AG:AGCG07",0.322061191626409,9
"224","ATQASUK:AG:AGCG10",-2.07231040564374,9
"225","ATQASUK:AG:AGCG11",0.0655039711782529,9
"226","ATQASUK:AG:AGCH02",0.700650998565597,9
"227","ATQASUK:AG:AGCH03",1.30403207982066,9
"228","ATQASUK:AG:AGCH04",-1.43448533279042,9
"229","ATQASUK:AG:AGCH11",-1.03494481469727,9
"230","ATQASUK:AG:AGCI03",1.7921146953405,9
"231","ATQASUK:AG:AGCI04",-0.050172381254862,9
"232","ATQASUK:AG:AGCI05",-1.8971623987298,7
"233","ATQASUK:AG:AGCI06",-1.63474810213941,9
"234","ATQASUK:AG:AGCI11",-1.55174937783633,9
"235","ATQASUK:AG:AGCJ02",2.40855609708069,9
"236","ATQASUK:AG:AGCJ03",0.0276854928017719,9
"237","ATQASUK:AG:AGCJ04",1.41975308641975,9
"238","ATQASUK:AG:AGCJ05",-2.23852783601211,9
"239","ATQASUK:AG:AGCJ10",-1.87436676798379,9
"240","ATQASUK:AG:AGCJ11",-0.758156275397654,9
"241","ATQASUK:AW:AWC04",2.30232558139535,5
"242","ATQASUK:AW:AWC05",0.535584604212055,12
"243","ATQASUK:AW:AWC06",-2.28744939271255,5
"244","ATQASUK:AW:AWC09",-0.422357522900554,12
