"","SiteSubsitePlot"
"580","TOOLIK:IMNAVAIT:5"
"581","TOOLIK:IMNAVAIT:6"
"582","TOOLIK:IMNAVAIT:7"
"583","TOOLIK:IMNAVAIT:8"
"584","TOOLIK:IMNAVAIT:9"
"585","TOOLIK:IMNAVAIT:10"
"586","TOOLIK:IMNAVAIT:11"
"587","TOOLIK:IMNAVAIT:12"
"588","TOOLIK:IMNAVAIT:13"
"589","TOOLIK:IMNAVAIT:14"
"590","TOOLIK:IMNAVAIT:15"
"591","TOOLIK:IMNAVAIT:16"
"592","TOOLIK:IMNAVAIT:19"
"593","TOOLIK:IMNAVAIT:20"
"594","TOOLIK:IMNAVAIT:21"
"595","TOOLIK:IMNAVAIT:22"
"596","TOOLIK:IMNAVAIT:23"
"597","TOOLIK:IMNAVAIT:24"
"598","TOOLIK:IMNAVAIT:25"
"599","TOOLIK:IMNAVAIT:26"
"600","TOOLIK:IMNAVAIT:27"
"601","TOOLIK:IMNAVAIT:28"
"602","TOOLIK:IMNAVAIT:29"
"603","TOOLIK:IMNAVAIT:30"
"604","TOOLIK:IMNAVAIT:31"
"605","TOOLIK:IMNAVAIT:33"
"606","TOOLIK:IMNAVAIT:34"
"607","TOOLIK:IMNAVAIT:35"
"608","TOOLIK:IMNAVAIT:36"
"609","TOOLIK:IMNAVAIT:37"
"610","TOOLIK:IMNAVAIT:38"
"611","TOOLIK:IMNAVAIT:39"
"612","TOOLIK:IMNAVAIT:40"
"613","TOOLIK:IMNAVAIT:41"
"614","TOOLIK:IMNAVAIT:42"
"615","TOOLIK:IMNAVAIT:43"
"616","TOOLIK:IMNAVAIT:44"
"617","TOOLIK:IMNAVAIT:45"
"618","TOOLIK:IMNAVAIT:46"
"619","TOOLIK:IMNAVAIT:47"
"620","TOOLIK:IMNAVAIT:48"
"621","TOOLIK:IMNAVAIT:51"
"622","TOOLIK:IMNAVAIT:52"
"623","TOOLIK:IMNAVAIT:53"
"624","TOOLIK:IMNAVAIT:54"
"625","TOOLIK:IMNAVAIT:55"
"626","TOOLIK:IMNAVAIT:56"
"627","TOOLIK:IMNAVAIT:57"
"628","TOOLIK:IMNAVAIT:58"
"629","TOOLIK:IMNAVAIT:59"
"630","TOOLIK:IMNAVAIT:60"
"631","TOOLIK:IMNAVAIT:61"
"632","TOOLIK:IMNAVAIT:62"
"633","TOOLIK:IMNAVAIT:63"
"634","TOOLIK:IMNAVAIT:65"
"635","TOOLIK:IMNAVAIT:66"
"636","TOOLIK:IMNAVAIT:67"
"637","TOOLIK:IMNAVAIT:68"
"638","TOOLIK:IMNAVAIT:69"
"639","TOOLIK:IMNAVAIT:70"
"640","TOOLIK:IMNAVAIT:71"
"641","TOOLIK:MOIST:13"
"642","TOOLIK:MOIST:18"
"643","TOOLIK:TUSSOCKGRID:1"
"644","TOOLIK:TUSSOCKGRID:2"
"645","TOOLIK:TUSSOCKGRID:3"
"646","TOOLIK:TUSSOCKGRID:4"
"647","TOOLIK:TUSSOCKGRID:5"
"648","TOOLIK:TUSSOCKGRID:6"
"649","TOOLIK:TUSSOCKGRID:7"
"650","TOOLIK:TUSSOCKGRID:8"
"651","TOOLIK:TUSSOCKGRID:9"
"652","TOOLIK:TUSSOCKGRID:10"
"653","TOOLIK:TUSSOCKGRID:11"
"654","TOOLIK:TUSSOCKGRID:12"
"655","TOOLIK:TUSSOCKGRID:13"
"656","TOOLIK:TUSSOCKGRID:14"
"657","TOOLIK:TUSSOCKGRID:15"
"658","TOOLIK:TUSSOCKGRID:16"
"659","TOOLIK:TUSSOCKGRID:17"
"660","TOOLIK:TUSSOCKGRID:18"
"661","TOOLIK:TUSSOCKGRID:19"
"662","TOOLIK:TUSSOCKGRID:20"
"663","TOOLIK:TUSSOCKGRID:21"
"664","TOOLIK:TUSSOCKGRID:22"
"665","TOOLIK:TUSSOCKGRID:23"
"666","TOOLIK:TUSSOCKGRID:24"
"667","TOOLIK:TUSSOCKGRID:25"
"668","TOOLIK:TUSSOCKGRID:26"
"669","TOOLIK:TUSSOCKGRID:27"
"670","TOOLIK:TUSSOCKGRID:28"
"671","TOOLIK:TUSSOCKGRID:29"
"672","TOOLIK:TUSSOCKGRID:30"
"673","TOOLIK:TUSSOCKGRID:31"
"674","TOOLIK:TUSSOCKGRID:32"
"675","TOOLIK:TUSSOCKGRID:33"
"676","TOOLIK:TUSSOCKGRID:34"
"677","TOOLIK:TUSSOCKGRID:35"
"678","TOOLIK:TUSSOCKGRID:36"
"679","TOOLIK:TUSSOCKGRID:37"
"680","TOOLIK:TUSSOCKGRID:38"
"681","TOOLIK:TUSSOCKGRID:39"
"682","TOOLIK:TUSSOCKGRID:40"
"683","TOOLIK:TUSSOCKGRID:41"
"684","TOOLIK:TUSSOCKGRID:42"
"685","TOOLIK:TUSSOCKGRID:43"
"686","TOOLIK:TUSSOCKGRID:44"
"687","TOOLIK:TUSSOCKGRID:45"
"688","TOOLIK:TUSSOCKGRID:46"
"689","TOOLIK:TUSSOCKGRID:47"
"690","TOOLIK:TUSSOCKGRID:48"
"691","TOOLIK:TUSSOCKGRID:49"
"692","TOOLIK:TUSSOCKGRID:50"
"693","TOOLIK:TUSSOCKGRID:52"
"694","TOOLIK:TUSSOCKGRID:53"
"695","TOOLIK:TUSSOCKGRID:55"
"696","TOOLIK:TUSSOCKGRID:56"
"697","TOOLIK:TUSSOCKGRID:57"
"698","TOOLIK:TUSSOCKGRID:58"
"699","TOOLIK:TUSSOCKGRID:59"
"700","TOOLIK:TUSSOCKGRID:60"
"701","TOOLIK:TUSSOCKGRID:61"
"702","TOOLIK:TUSSOCKGRID:62"
"703","TOOLIK:TUSSOCKGRID:63"
"704","TOOLIK:TUSSOCKGRID:64"
"705","TOOLIK:TUSSOCKGRID:65"
"706","TOOLIK:TUSSOCKGRID:66"
"707","TOOLIK:TUSSOCKGRID:67"
"708","TOOLIK:TUSSOCKGRID:68"
"709","TOOLIK:TUSSOCKGRID:69"
"710","TOOLIK:TUSSOCKGRID:70"
"711","TOOLIK:TUSSOCKGRID:72"
"712","TOOLIK:TUSSOCKGRID:74"
"713","TOOLIK:TUSSOCKGRID:75"
"714","TOOLIK:TUSSOCKGRID:76"
"715","TOOLIK:TUSSOCKGRID:77"
"716","TOOLIK:TUSSOCKGRID:78"
"717","TOOLIK:TUSSOCKGRID:79"
"718","TOOLIK:TUSSOCKGRID:80"
"719","TOOLIK:TUSSOCKGRID:81"
"720","TOOLIK:TUSSOCKGRID:83"
"721","TOOLIK:TUSSOCKGRID:84"
"722","TOOLIK:TUSSOCKGRID:85"
"723","TOOLIK:TUSSOCKGRID:51"
"724","TOOLIK:TUSSOCKGRID:54"
"725","TOOLIK:TUSSOCKGRID:82"
"726","ANWR:ATIGUN-A:1"
"727","ANWR:ATIGUN-A:2"
"728","ANWR:ATIGUN-A:3"
"729","ANWR:ATIGUN-A:4"
"730","ANWR:ATIGUN-A:6"
"731","ANWR:ATIGUN-A:7"
"732","ANWR:ATIGUN-A:8"
"733","ANWR:ATIGUN-A:9"
"734","ANWR:ATIGUN-A:10"
"735","ANWR:ATIGUN-A:5"
"736","ANWR:ATIGUN-B:1"
"737","ANWR:ATIGUN-B:2"
"738","ANWR:ATIGUN-B:3"
"739","ANWR:ATIGUN-B:4"
"740","ANWR:ATIGUN-B:5"
"741","ANWR:ATIGUN-B:6"
"742","ANWR:ATIGUN-B:7"
"743","ANWR:ATIGUN-B:8"
"744","ANWR:ATIGUN-B:9"
"745","ANWR:ATIGUN-B:10"
"746","ANWR:ATIGUN-C:1"
"747","ANWR:ATIGUN-C:2"
"748","ANWR:ATIGUN-C:3"
"749","ANWR:ATIGUN-C:4"
"750","ANWR:ATIGUN-C:5"
"751","ANWR:ATIGUN-C:6"
"752","ANWR:ATIGUN-C:7"
"753","ANWR:ATIGUN-C:8"
"754","ANWR:ATIGUN-C:9"
"755","ANWR:ATIGUN-C:10"
"756","ANWR:JAGO-A:1"
"757","ANWR:JAGO-A:2"
"758","ANWR:JAGO-A:3"
"759","ANWR:JAGO-A:4"
"760","ANWR:JAGO-A:5"
"761","ANWR:JAGO-A:6"
"762","ANWR:JAGO-A:7"
"763","ANWR:JAGO-A:8"
"764","ANWR:JAGO-A:9"
"765","ANWR:JAGO-A:10"
"766","ANWR:JAGO-B:1"
"767","ANWR:JAGO-B:2"
"768","ANWR:JAGO-B:3"
"769","ANWR:JAGO-B:4"
"770","ANWR:JAGO-B:5"
"771","ANWR:JAGO-B:6"
"772","ANWR:JAGO-B:7"
"773","ANWR:JAGO-B:8"
"774","ANWR:JAGO-B:9"
"775","ANWR:JAGO-B:10"
"776","BROOKS:SHEEN-B:2"
"777","BROOKS:SHEEN-B:4"
"778","BROOKS:SHEEN-B:5"
"779","BROOKS:SHEEN-B:6"
"780","BROOKS:SHEEN-B:7"
"781","BROOKS:SHEEN-B:8"
"782","BROOKS:SHEEN-B:9"
"783","BROOKS:SHEEN-B:10"
"784","ENDALEN:BIS-H:BIS-H1"
"785","ENDALEN:BIS-H:BIS-H2"
"786","ENDALEN:BIS-H:BIS-H3"
"787","ENDALEN:BIS-H:BIS-H5"
"788","ENDALEN:BIS-H:BIS-H4"
"789","ENDALEN:CAS-H:CAS-H1"
"790","ENDALEN:CAS-H:CAS-H2"
"791","ENDALEN:CAS-H:CAS-H3"
"792","ENDALEN:CAS-H:CAS-H4"
"793","ENDALEN:CAS-H:CAS-H5"
"794","ENDALEN:DRY-H:DRY-H1"
"795","ENDALEN:DRY-H:DRY-H2"
"796","ENDALEN:DRY-H:DRY-H3"
"797","ENDALEN:DRY-H:DRY-H4"
"798","ENDALEN:DRY-H:DRY-H5"
"799","KYTALYK:LAKEBED:1_REMOVAL_CONTROL"
"800","KYTALYK:LAKEBED:3_REMOVAL_CONTROL"
"801","KYTALYK:LAKEBED:5_REMOVAL_CONTROL"
"802","KYTALYK:LAKEBED:7_REMOVAL_CONTROL"
"803","KYTALYK:LAKEBED:9_REMOVAL_CONTROL"
"804","TORNGATS:NAKVAKDRY:11b"
"805","TORNGATS:NAKVAKDRY:12b"
"806","TORNGATS:NAKVAKDRY:14b"
"807","TORNGATS:NAKVAKDRY:15b"
"808","TORNGATS:NAKVAKDRY:1b"
"809","TORNGATS:NAKVAKDRY:2a"
"810","TORNGATS:NAKVAKDRY:3b"
"811","TORNGATS:NAKVAKDRY:8b"
"812","TORNGATS:NAKVAKWET:16b"
"813","TORNGATS:NAKVAKWET:17b"
"814","TORNGATS:NAKVAKWET:4b"
"815","TORNGATS:NAKVAKWET:7b"
"816","TORNGATS:NAKVAKDRY:6b"
"817","TORNGATS:NAKVAKDRY:13b"
"818","ALEXFIORD:MEADOW:Mead.c.1"
"819","ALEXFIORD:WILLOW:Will.c.1"
"820","ALEXFIORD:MEADOW:Mead.c.2"
"821","ALEXFIORD:WILLOW:Will.c.2"
"822","ALEXFIORD:MEADOW:Mead.c.3"
"823","ALEXFIORD:WILLOW:Will.c.3"
"824","ALEXFIORD:WILLOW:Will.c.4"
"825","ALEXFIORD:FERT:Fert.c.c.5"
"826","ALEXFIORD:WILLOW:Will.c.5"
"827","ALEXFIORD:MEADOW:Mead.c.6"
"828","ALEXFIORD:WILLOW:Will.c.6"
"829","ALEXFIORD:MEADOW:Mead.c.7"
"830","ALEXFIORD:WILLOW:Will.c.7"
"831","ALEXFIORD:WILLOW:Will.c.8"
"832","ALEXFIORD:WILLOW:Will.c.9"
"833","ALEXFIORD:WILLOW:Will.c.10"
"834","ALEXFIORD:FERT:Fert.c.c.13"
"835","ALEXFIORD:FERT:Fert.c.c.21"
"836","ALEXFIORD:FERT:Fert.c.c.29"
"837","ALEXFIORD:DOMEGRANITE:Dom.c.2g"
"838","ALEXFIORD:DOMEDOLOMITE:Dom.c.2d"
"839","ALEXFIORD:DOMEDOLOMITE:Dom.c.3d"
"840","ALEXFIORD:DOMEGRANITE:Dom.c.1g"
"841","ALEXFIORD:DOMEGRANITE:Dom.c.3g"
"842","ALEXFIORD:DOMEGRANITE:Dom.c.4g"
"843","ALEXFIORD:DOMEDOLOMITE:Dom.c.1d"
"844","ALEXFIORD:DOMEDOLOMITE:Dom.c.4d"
"845","ALEXFIORD:DOMEDOLOMITE:Dom.c.5d"
"846","ALEXFIORD:DOMEGRANITE:Dom.c.5g"
"847","ALEXFIORD:FERT:Fert.c.c.37"
"848","ALEXFIORD:DRYAS:Dry.c.1"
"849","ALEXFIORD:DRYAS:Dry.c.2"
"850","ALEXFIORD:DRYAS:Dry.c.3"
"851","ALEXFIORD:MEADOW:Mead.c.4"
"852","ALEXFIORD:MEADOW:Mead.c.5"
"853","ALEXFIORD:MEADOW:Mead.c.8"
"854","ALEXFIORD:MEADOW:Mead.c.9"
"855","ALEXFIORD:MEADOW:Mead.c.10"
"856","ALEXFIORD:CASSIOPE:Cas.c.c.10new"
"857","ALEXFIORD:CASSIOPE:Cas.c.c.11new"
"858","ALEXFIORD:CASSIOPE:Cas.c.c.12new"
"859","ALEXFIORD:CASSIOPE:Cas.c.c.13new"
"860","ALEXFIORD:CASSIOPE:Cas.c.c.14new"
"861","ALEXFIORD:CASSIOPE:Cas.c.c.15new"
"862","ALEXFIORD:CASSIOPE:Cas.c.c.16new"
"863","ALEXFIORD:CASSIOPE:Cas.c.c.17new"
"864","ALEXFIORD:CASSIOPE:Cas.c.c.18new"
"865","ALEXFIORD:CASSIOPE:Cas.c.c.1new"
"866","ALEXFIORD:CASSIOPE:Cas.c.c.2new"
"867","ALEXFIORD:CASSIOPE:Cas.c.c.3new"
"868","ALEXFIORD:CASSIOPE:Cas.c.c.4new"
"869","ALEXFIORD:CASSIOPE:Cas.c.c.5new"
"870","ALEXFIORD:CASSIOPE:Cas.c.c.6new"
"871","ALEXFIORD:CASSIOPE:Cas.c.c.7new"
"872","ALEXFIORD:CASSIOPE:Cas.c.c.8new"
"873","ALEXFIORD:CASSIOPE:Cas.c.c.9new"
"874","ALEXFIORD:CASSIOPE:Cas.c.c.2"
"875","ALEXFIORD:CASSIOPE:Cas.c.c.4"
"876","ALEXFIORD:CASSIOPE:Cas.c.c.9"
"877","ALEXFIORD:CASSIOPE:Cas.c.c.12"
"878","ALEXFIORD:CASSIOPE:Cas.c.c.13"
"879","ALEXFIORD:CASSIOPE:Cas.c.c.16"
"880","ALEXFIORD:DRYAS:Dry.c.4"
"881","ALEXFIORD:DRYAS:Dry.c.5"
"882","ALEXFIORD:DRYAS:Dry.c.6"
"883","ALEXFIORD:DRYAS:Dry.c.7"
"884","ALEXFIORD:DRYAS:Dry.c.8"
"885","ALEXFIORD:DRYAS:Dry.c.9"
"886","ALEXFIORD:DRYAS:Dry.c.10"
"887","ENDALEN:DRY-L:DRY-L1"
"888","ENDALEN:DRY-L:DRY-L2"
"889","ENDALEN:DRY-L:DRY-L5"
"890","ENDALEN:DRY-L:DRY-L7"
"891","ENDALEN:DRY-L:DRY-L8"
"892","ENDALEN:CAS-L:CAS-L1"
"893","ENDALEN:CAS-L:CAS-L3"
"894","ENDALEN:CAS-L:CAS-L7"
"895","ENDALEN:CAS-L:CAS-L9"
"896","ENDALEN:CAS-L:CAS-L10"
"897","ENDALEN:BIS-L:BIS-L2"
"898","ENDALEN:BIS-L:BIS-L3"
"899","ENDALEN:BIS-L:BIS-L6"
"900","ENDALEN:BIS-L:BIS-L8"
"901","ENDALEN:BIS-L:BIS-L10"
"902","AUDKULUHEIDI:BETULAHEATH:1"
"903","AUDKULUHEIDI:BETULAHEATH:2"
"904","AUDKULUHEIDI:BETULAHEATH:3"
"905","AUDKULUHEIDI:BETULAHEATH:4"
"906","AUDKULUHEIDI:BETULAHEATH:5"
"907","AUDKULUHEIDI:BETULAHEATH:6"
"908","AUDKULUHEIDI:BETULAHEATH:7"
"909","AUDKULUHEIDI:BETULAHEATH:8"
"910","AUDKULUHEIDI:BETULAHEATH:9"
"911","AUDKULUHEIDI:BETULAHEATH:10"
"912","THINGVELLIR:MOSS HEATH:1"
"913","THINGVELLIR:MOSS HEATH:3"
"914","THINGVELLIR:MOSS HEATH:4"
"915","THINGVELLIR:MOSS HEATH:8"
"916","THINGVELLIR:MOSS HEATH:9"
"917","THINGVELLIR:MOSS HEATH:10"
"918","THINGVELLIR:MOSS HEATH:2"
"919","THINGVELLIR:MOSS HEATH:5"
"920","THINGVELLIR:MOSS HEATH:6"
"921","THINGVELLIR:MOSS HEATH:7"
"922","QHI:HE:1"
"923","QHI:HE:2"
"924","QHI:HE:5"
"925","QHI:HE:3"
"926","QHI:HE:6"
"927","QHI:KO:1"
"928","QHI:KO:2"
"929","QHI:KO:3"
"930","QHI:KO:4"
"931","QHI:KO:6"
"932","QHI:KO:5"
"933","ATQASUK:AD:ADC01"
"934","ATQASUK:AD:ADC02"
"935","ATQASUK:AD:ADC03"
"936","ATQASUK:AD:ADC04"
"937","ATQASUK:AD:ADC05"
"938","ATQASUK:AD:ADC06"
"939","ATQASUK:AD:ADC07"
"940","ATQASUK:AD:ADC08"
"941","ATQASUK:AD:ADC09"
"942","ATQASUK:AD:ADC10"
"943","ATQASUK:AD:ADC11"
"944","ATQASUK:AD:ADC12"
"945","ATQASUK:AD:ADC13"
"946","ATQASUK:AD:ADC14"
"947","ATQASUK:AD:ADC15"
"948","ATQASUK:AD:ADC16"
"949","ATQASUK:AD:ADC17"
"950","ATQASUK:AD:ADC18"
"951","ATQASUK:AD:ADC19"
"952","ATQASUK:AD:ADC20"
"953","ATQASUK:AD:ADC21"
"954","ATQASUK:AD:ADC22"
"955","ATQASUK:AD:ADC23"
"956","ATQASUK:AD:ADC24"
"957","ATQASUK:AW:AWC04"
"958","ATQASUK:AW:AWC05"
"959","ATQASUK:AW:AWC06"
"960","ATQASUK:AW:AWC09"
"961","ATQASUK:AW:AWC10"
"962","ATQASUK:AW:AWC11"
"963","ATQASUK:AW:AWC12"
"964","ATQASUK:AW:AWC13"
"965","ATQASUK:AW:AWC15"
"966","ATQASUK:AW:AWC16"
"967","ATQASUK:AW:AWC17"
"968","ATQASUK:AW:AWC18"
"969","ATQASUK:AW:AWC22"
"970","ATQASUK:AW:AWC23"
"971","ATQASUK:AW:AWC14"
"972","ATQASUK:AW:AWC20"
"973","ATQASUK:AW:AWC24"
"974","BARROW:BD:BDC01"
"975","BARROW:BD:BDC02"
"976","BARROW:BD:BDC03"
"977","BARROW:BD:BDC04"
"978","BARROW:BD:BDC05"
"979","BARROW:BD:BDC06"
"980","BARROW:BD:BDC07"
"981","BARROW:BD:BDC08"
"982","BARROW:BD:BDC09"
"983","BARROW:BD:BDC10"
"984","BARROW:BD:BDC11"
"985","BARROW:BD:BDC12"
"986","BARROW:BD:BDC13"
"987","BARROW:BD:BDC14"
"988","BARROW:BD:BDC15"
"989","BARROW:BD:BDC16"
"990","BARROW:BD:BDC17"
"991","BARROW:BD:BDC18"
"992","BARROW:BD:BDC19"
"993","BARROW:BD:BDC20"
"994","BARROW:BD:BDC21"
"995","BARROW:BD:BDC22"
"996","BARROW:BD:BDC23"
"997","BARROW:BD:BDC24"
"998","BARROW:BW:BWC04"
"999","BARROW:BW:BWC05"
"1000","BARROW:BW:BWC06"
"1001","BARROW:BW:BWC07"
"1002","BARROW:BW:BWC08"
"1003","BARROW:BW:BWC10"
"1004","BARROW:BW:BWC12"
"1005","BARROW:BW:BWC13"
"1006","BARROW:BW:BWC22"
"1007","BARROW:BW:BWC23"
"1008","BARROW:BW:BWC01"
"1009","BARROW:BW:BWC02"
"1010","BARROW:BW:BWC03"
"1011","BARROW:BW:BWC09"
"1012","BARROW:BW:BWC11"
"1013","BARROW:BW:BWC14"
"1014","BARROW:BW:BWC15"
"1015","BARROW:BW:BWC16"
"1016","BARROW:BW:BWC17"
"1017","BARROW:BW:BWC18"
"1018","BARROW:BW:BWC20"
"1019","BARROW:BW:BWC21"
"1020","BARROW:BW:BWC24"
"1021","ATQASUK:AG:AGCA04"
"1022","ATQASUK:AG:AGCA05"
"1023","ATQASUK:AG:AGCA06"
"1024","ATQASUK:AG:AGCA02"
"1025","ATQASUK:AG:AGCA03"
"1026","ATQASUK:AG:AGCA07"
"1027","ATQASUK:AG:AGCA09"
"1028","ATQASUK:AG:AGCA10"
"1029","ATQASUK:AG:AGCB02"
"1030","ATQASUK:AG:AGCB03"
"1031","ATQASUK:AG:AGCB04"
"1032","ATQASUK:AG:AGCB07"
"1033","ATQASUK:AG:AGCB08"
"1034","ATQASUK:AG:AGCB09"
"1035","ATQASUK:AG:AGCB10"
"1036","ATQASUK:AG:AGCB11"
"1037","ATQASUK:AG:AGCC05"
"1038","ATQASUK:AG:AGCC06"
"1039","ATQASUK:AG:AGCC08"
"1040","ATQASUK:AG:AGCC09"
"1041","ATQASUK:AG:AGCC10"
"1042","ATQASUK:AG:AGCC11"
"1043","ATQASUK:AG:AGCD02"
"1044","ATQASUK:AG:AGCD03"
"1045","ATQASUK:AG:AGCD04"
"1046","ATQASUK:AG:AGCD05"
"1047","ATQASUK:AG:AGCD06"
"1048","ATQASUK:AG:AGCD07"
"1049","ATQASUK:AG:AGCD08"
"1050","ATQASUK:AG:AGCD10"
"1051","ATQASUK:AG:AGCD11"
"1052","ATQASUK:AG:AGCE02"
"1053","ATQASUK:AG:AGCE03"
"1054","ATQASUK:AG:AGCE04"
"1055","ATQASUK:AG:AGCE06"
"1056","ATQASUK:AG:AGCE07"
"1057","ATQASUK:AG:AGCE08"
"1058","ATQASUK:AG:AGCE09"
"1059","ATQASUK:AG:AGCE11"
"1060","ATQASUK:AG:AGCF02"
"1061","ATQASUK:AG:AGCF05"
"1062","ATQASUK:AG:AGCF06"
"1063","ATQASUK:AG:AGCF07"
"1064","ATQASUK:AG:AGCF08"
"1065","ATQASUK:AG:AGCF10"
"1066","ATQASUK:AG:AGCG02"
"1067","ATQASUK:AG:AGCG03"
"1068","ATQASUK:AG:AGCG05"
"1069","ATQASUK:AG:AGCG06"
"1070","ATQASUK:AG:AGCG07"
"1071","ATQASUK:AG:AGCG10"
"1072","ATQASUK:AG:AGCG11"
"1073","ATQASUK:AG:AGCH02"
"1074","ATQASUK:AG:AGCH03"
"1075","ATQASUK:AG:AGCH04"
"1076","ATQASUK:AG:AGCH10"
"1077","ATQASUK:AG:AGCH11"
"1078","ATQASUK:AG:AGCI03"
"1079","ATQASUK:AG:AGCI04"
"1080","ATQASUK:AG:AGCI06"
"1081","ATQASUK:AG:AGCI11"
"1082","ATQASUK:AG:AGCJ02"
"1083","ATQASUK:AG:AGCJ03"
"1084","ATQASUK:AG:AGCJ04"
"1085","ATQASUK:AG:AGCJ05"
"1086","ATQASUK:AG:AGCJ09"
"1087","ATQASUK:AG:AGCJ10"
"1088","ATQASUK:AG:AGCJ11"
"1089","ATQASUK:AG:AGCH06"
"1090","ATQASUK:AG:AGCI05"
"1091","ATQASUK:AG:AGCB06"
"1092","BARROW:BG:BGCF11"
"1093","BARROW:BG:BGCH11"
"1094","BARROW:BG:BGCJ11"
"1095","BARROW:BG:BGCC10"
"1096","BARROW:BG:BGCF10"
"1097","BARROW:BG:BGCG10"
"1098","BARROW:BG:BGCB09"
"1099","BARROW:BG:BGCE09"
"1100","BARROW:BG:BGCF09"
"1101","BARROW:BG:BGCE08"
"1102","BARROW:BG:BGCF08"
"1103","BARROW:BG:BGCG08"
"1104","BARROW:BG:BGCC07"
"1105","BARROW:BG:BGCE07"
"1106","BARROW:BG:BGCF07"
"1107","BARROW:BG:BGCK07"
"1108","BARROW:BG:BGCB06"
"1109","BARROW:BG:BGCE06"
"1110","BARROW:BG:BGCF06"
"1111","BARROW:BG:BGCB05"
"1112","BARROW:BG:BGCE05"
"1113","BARROW:BG:BGCF05"
"1114","BARROW:BG:BGCG05"
"1115","BARROW:BG:BGCH05"
"1116","BARROW:BG:BGCI05"
"1117","BARROW:BG:BGCK05"
"1118","BARROW:BG:BGCC04"
"1119","BARROW:BG:BGCD04"
"1120","BARROW:BG:BGCE04"
"1121","BARROW:BG:BGCF04"
"1122","BARROW:BG:BGCG04"
"1123","BARROW:BG:BGCC03"
"1124","BARROW:BG:BGCD03"
"1125","BARROW:BG:BGCH03"
"1126","BARROW:BG:BGCK03"
"1127","BARROW:BG:BGCB02"
"1128","BARROW:BG:BGCD02"
"1129","BARROW:BG:BGCD05"
"1130","BARROW:BG:BGCE02"
"1131","BARROW:BG:BGCF02"
"1132","BARROW:BG:BGCF03"
"1133","BARROW:BG:BGCH04"
"1134","BARROW:BG:BGCD06"
"1135","BARROW:BG:BGCH06"
"1136","BARROW:BG:BGCB11"
"1137","BARROW:BG:BGCK09"
