"","ID","LAT","LONG","variable","year","month","celsius"
"86",1,78.87448,-75.78341,"tas","1997","08",0.0500000000000114
"87",1,78.87448,-75.78341,"tas","1998","08",0.850000000000023
"88",1,78.87448,-75.78341,"tas","1999","08",2.35000000000002
"89",1,78.87448,-75.78341,"tas","2000","08",1.25
"90",1,78.87448,-75.78341,"tas","2001","08",1.45000000000005
"91",1,78.87448,-75.78341,"tas","2002","08",2.95000000000005
"92",1,78.87448,-75.78341,"tas","2003","08",1.45000000000005
"93",1,78.87448,-75.78341,"tas","2004","08",2.65000000000003
"94",1,78.87448,-75.78341,"tas","2005","08",3.05000000000001
"95",1,78.87448,-75.78341,"tas","2006","08",2.95000000000005
"96",1,78.87448,-75.78341,"tas","2007","08",5.15000000000003
"97",1,78.87448,-75.78341,"tas","2008","08",1.45000000000005
"98",1,78.87448,-75.78341,"tas","2009","08",3.15000000000003
"99",1,78.87448,-75.78341,"tas","2010","08",2.25
"100",1,78.87448,-75.78341,"tas","2011","08",2.05000000000001
"101",1,78.87448,-75.78341,"tas","2012","08",2.95000000000005
"102",1,78.87448,-75.78341,"tas","2013","08",1.25
"103",1,78.87448,-75.78341,"tas","2014","08",2.65000000000003
"104",1,78.87448,-75.78341,"tas","2015","08",1.65000000000003
"105",1,78.87448,-75.78341,"tas","2016","08",3.95000000000005
"106",1,78.87448,-75.78341,"tas","2017","08",2.05000000000001
"107",1,78.87448,-75.78341,"tas","2018","08",3.45000000000005
"108",1,78.87448,-75.78341,"tas","2019","08",5.95000000000005
"109",2,78.71061,16.45535,"tas","1984","06",0.950000000000045
"110",2,78.71061,16.45535,"tas","1985","06",1.65000000000003
"111",2,78.71061,16.45535,"tas","1986","06",2.65000000000003
"112",2,78.71061,16.45535,"tas","1987","06",0.650000000000034
"113",2,78.71061,16.45535,"tas","1988","06",1.75
"114",2,78.71061,16.45535,"tas","1989","06",1.15000000000003
"115",2,78.71061,16.45535,"tas","1990","06",0.950000000000045
"116",2,78.71061,16.45535,"tas","1991","06",0.650000000000034
"117",2,78.71061,16.45535,"tas","1992","06",1.65000000000003
"118",2,78.71061,16.45535,"tas","1993","06",1.75
"119",2,78.71061,16.45535,"tas","1994","06",1.55000000000001
"120",2,78.71061,16.45535,"tas","1995","06",1.85000000000002
"121",2,78.71061,16.45535,"tas","1996","06",0.950000000000045
"122",2,78.71061,16.45535,"tas","1997","06",1.35000000000002
"123",2,78.71061,16.45535,"tas","1998","06",1.35000000000002
"124",2,78.71061,16.45535,"tas","1999","06",2.25
"125",2,78.71061,16.45535,"tas","2000","06",1.45000000000005
"126",2,78.71061,16.45535,"tas","2001","06",2.05000000000001
"127",2,78.71061,16.45535,"tas","2002","06",2.15000000000003
"128",2,78.71061,16.45535,"tas","2003","06",1.45000000000005
"129",2,78.71061,16.45535,"tas","2004","06",1.95000000000005
"130",2,78.71061,16.45535,"tas","2005","06",2.45000000000005
"131",2,78.71061,16.45535,"tas","2006","06",3.15000000000003
"132",2,78.71061,16.45535,"tas","2007","06",2.75
"133",2,78.71061,16.45535,"tas","2008","06",1.45000000000005
"134",2,78.71061,16.45535,"tas","2009","06",1.35000000000002
"135",2,78.71061,16.45535,"tas","2010","06",1.95000000000005
"136",2,78.71061,16.45535,"tas","2011","06",2.15000000000003
"137",2,78.71061,16.45535,"tas","2012","06",1.65000000000003
"138",2,78.71061,16.45535,"tas","2013","06",2.45000000000005
"139",2,78.71061,16.45535,"tas","2014","06",1.25
"140",2,78.71061,16.45535,"tas","2015","06",2.95000000000005
"141",2,78.71061,16.45535,"tas","2016","06",3.55000000000001
"142",2,78.71061,16.45535,"tas","2017","06",2.25
"143",2,78.71061,16.45535,"tas","2018","06",2.95000000000005
"144",2,78.71061,16.45535,"tas","2019","06",2.65000000000003
"145",2,78.71061,16.45535,"tas","1984","07",3.85000000000002
"146",2,78.71061,16.45535,"tas","1985","07",4.55000000000001
"147",2,78.71061,16.45535,"tas","1986","07",5.15000000000003
"148",2,78.71061,16.45535,"tas","1987","07",3.05000000000001
"149",2,78.71061,16.45535,"tas","1988","07",4.35000000000002
"150",2,78.71061,16.45535,"tas","1989","07",3.65000000000003
"151",2,78.71061,16.45535,"tas","1990","07",4.85000000000002
"152",2,78.71061,16.45535,"tas","1991","07",4.45000000000005
"153",2,78.71061,16.45535,"tas","1992","07",4.45000000000005
"154",2,78.71061,16.45535,"tas","1993","07",6.05000000000001
"155",2,78.71061,16.45535,"tas","1994","07",4.25
"156",2,78.71061,16.45535,"tas","1995","07",4.85000000000002
"157",2,78.71061,16.45535,"tas","1996","07",4.65000000000003
